Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"1Day Sooner — General Support (2021)","1Day Sooner","Global Health & Development","Global Health & Development",11/2023,"$1,000,000"
"1Day Sooner — General Support (May 2020)","1Day Sooner","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",05/2020,"$500,000"
"1Day Sooner — General Support (November 2020)","1Day Sooner","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",11/2020,"$600,000"
"221B Foundation — COVID-19 Testing in Nepal (Jay Mahat)","221B Foundation","Biosecurity and Pandemic Preparedness","Scientific Research; Biosecurity and Pandemic Preparedness",11/2020,"$100,000"
"80,000 Hours — General Support","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",05/2022,"$1,250,000"
"80,000 Hours — General Support","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",03/2017,"$1,125,000"
"80,000 Hours — General Support (2018)","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",02/2018,"$510,000"
"80,000 Hours — General Support (2019)","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",02/2019,"$4,795,803"
"80,000 Hours — General Support (2020)","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",02/2020,"$2,893,125"
"80,000 Hours — General Support (2023)","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",01/2023,"$1,200,000"
"80,000 Hours — General Support (May 2023)","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",05/2023,"$5,575,238"
"80,000 Hours — General Support (October 2023)","80,000 Hours","Global Catastrophic Risks","Global Catastrophic Risks",10/2023,"$4,250,000"
"80,000 Hours — General Support (October 2024)","80,000 Hours","Global Catastrophic Risks","Global Catastrophic Risks",10/2024,"$6,600,000"
"80,000 Hours — Marketing","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",06/2022,"$3,000,000"
"80,000 Hours — Marketing (2023)","80,000 Hours","Effective Giving and Careers","Effective Giving and Careers",04/2023,"$2,492,000"
